CFB Bagotville,48.3306007,-70.9963989,YBG
Baker Lake Airport,64.2988968,-96.0777969,YBK
Campbell River Airport,49.950802,-125.271004,YBL
Tadoule Lake Airport,58.7061,-98.512199,XTL
Brandon Municipal Airport,49.91,-99.951897,YBR
Brochet Airport,57.8894,-101.679001,YBT
Berens River Airport,52.358898,-97.018303,YBV
Lourdes-de-Blanc-Sablon Airport,51.4436,-57.185299,YBX
Cartwright Airport,53.682501,-57.042303,YRF
Cambridge Bay Airport,69.1081009,-105.1380005,YCB
Cornwall Regional Airport,45.092637,-74.567724,YCC
Nanaimo Airport,49.05497,-123.869863,YCD
Centralia / James T. Field Memorial Aerodrome,43.285599,-81.508301,YCE
Castlegar/West Kootenay Regional Airport,49.2963982,-117.6320038,YCG
Miramichi Airport,47.007801,-65.449203,YCH
Charlo Airport,47.990799,-66.330299,YCL
Cochrane Airport,49.1055984,-81.0136032,YCN
Kugluktuk Airport,67.816704,-115.143997,YCO
Chetwynd Airport,55.6871986,-121.6269989,YCQ
Cross Lake (Charlie Sinclair Memorial) Airport,54.6105995,-97.7608032,YCR
Chesterfield Inlet Airport,63.3469009,-90.731102,YCS
Clyde River Airport,70.4860992,-68.5167007,YCY
Dawson City Airport,64.0430984,-139.128006,YDA
Burwash Airport,61.371101,-139.041,YDB
Deer Lake Airport,49.2108002,-57.3913994,YDF
Ross River Airport,61.9706001,-132.4230042,XRR
Dauphin Barker Airport,51.1007996,-100.052002,YDN
Dolbeau St Felicien Airport,48.7784996,-72.375,YDO
Nain Airport,56.550778,-61.682224,YDP
Dawson Creek Airport,55.7422981,-120.1829987,YDQ
Edmonton International Airport,53.3097,-113.580002,YEG
Arviat Airport,61.0942001,-94.0708008,YEK
Elliot Lake Municipal Airport,46.3513985,-82.5614014,YEL
Manitoulin East Municipal Airport,45.842435,-81.857595,YEM
Estevan Airport,49.2103004,-102.9660034,YEN
Fort Severn Airport,56.0189018,-87.6761017,YER
Edson Airport,53.5788994,-116.4649963,YET
Inuvik Mike Zubko Airport,68.3041992,-133.4830017,YEV
Amos/Magny Airport,48.563903,-78.249702,YEY
Fort Albany Airport,52.2014008,-81.6968994,YFA
Iqaluit Airport,63.756402,-68.555801,YFB
Fredericton Airport,45.8689003,-66.5372009,YFC
Forestville Airport,48.7461014,-69.0971985,YFE
Fort Hope Airport,51.5619011,-87.9077988,YFH
Mont-Tremblant International Airport,46.409401,-74.779999,YTM
Flin Flon Airport,54.6781006,-101.6819992,YFO
Fort Resolution Airport,61.1808014,-113.6900024,YFR
Fort Simpson Airport,61.7602005,-121.2369995,YFS
Makkovik Airport,55.077335,-59.187942,YMN
Texada Gillies Bay Airport,49.6941986,-124.5179977,YGB
Fort Good Hope Airport,66.240799,-128.651001,YGH
Kingston Norman Rogers Airport,44.2253,-76.596901,YGK
La Grande Rivière Airport,53.6253014,-77.7042007,YGL
Gimli Industrial Park Airport,50.6281013,-97.0432968,YGM
Gods Lake Narrows Airport,54.5588989,-94.4914017,YGO
Gaspé (Michel-Pouliot) Airport,48.7752991,-64.4785995,YGP
