,name,latitude_deg,longitude_deg,iso_country,iata_code
47551,Rurutu Airport,-22.4340992,-151.3609924,PF,RUR
47552,Tubuai Airport,-23.3654003,-149.5240021,PF,TUB
47554,Anaa Airport,-17.3526,-145.509995,PF,AAA
47555,Fangatau Airport,-15.81995,-140.88729,PF,FGU
47556,Tikehau Airport,-15.1196003,-148.2310028,PF,TIH
47558,Reao Airport,-18.46652,-136.43855,PF,REA
47559,Fakarava Airport,-16.0541,-145.6569977,PF,FAV
47562,Manihi Airport,-14.4368,-146.0700073,PF,XMH
47563,Totegegie Airport,-23.0799007,-134.8899994,PF,GMR
47564,Kaukura Airport,-15.6633,-146.884995,PF,KKR
47565,Makemo Airport,-16.5839,-143.658005,PF,MKP
47568,Puka Puka Airport,-14.8094997,-138.8130035,PF,PKP
47572,Takapoto Airport,-14.7095003,-145.2460022,PF,TKP
47573,Arutua Airport,-15.2482996,-146.6170044,PF,AXR
47574,Mataiva Airport,-14.8681002,-148.7169952,PF,MVT
47577,Ahe Airport,-14.4280996,-146.2570038,PF,AHE
47585,Takaroa Airport,-14.4558001,-145.0249939,PF,TKX
47588,Nuku Hiva Airport,-8.7956,-140.229004,PF,NHV
47589,Hiva Oa-Atuona Airport,-9.7687902,-139.0110016,PF,AUQ
47592,Bora Bora Airport,-16.4444008,-151.7510071,PF,BOB
47594,Rangiroa Airport,-14.9542999,-147.6609955,PF,RGI
47595,Huahine-Fare Airport,-16.687084,-151.021593,PF,HUH
47596,Moorea Temae Airport,-17.48979,-149.761777,PF,MOZ
47597,Hao Airport,-18.0748,-140.945999,PF,HOI
47598,Maupiti Airport,-16.4265003,-152.2440033,PF,MAU
47599,Raiatea Airport,-16.7229,-151.466003,PF,RFP
47702,Gaua Island Airport,-14.2180996,167.5870056,VU,ZGU
47704,Santo Pekoa International Airport,-15.5050001,167.2200012,VU,SON
47719,Bauerfield International Airport,-17.699301,168.320007,VU,VLI
47720,Tanna Airport,-19.4550991,169.223999,VU,TAH
47722,Tiga Airport,-21.0960999,167.8040009,NC,TGJ
47724,Île Art - Waala Airport,-19.720521,163.661077,NC,BMY
47725,Koné Airport,-21.053551,164.838768,NC,KNQ
47726,Île des Pins Airport,-22.5888996,167.4559937,NC,ILP
47730,Koumac Airport,-20.546323,164.255648,NC,KOC
47731,Lifou Airport,-20.7747993,167.2400055,NC,LIF
47732,Nouméa Magenta Airport,-22.258301,166.473007,NC,GEA
47736,Maré Airport,-21.4817009,168.0379944,NC,MEE
47739,Touho Airport,-20.790127,165.259524,NC,TOU
47740,Ouvéa Airport,-20.6406002,166.572998,NC,UVE
47741,La Tontouta International Airport,-22.014601,166.212997,NC,NOU
47931,Auckland International Airport,-37.01199,174.786331,NZ,AKL
47937,Taupo Airport,-38.7397003,176.0839996,NZ,TUO
47938,Ardmore Airport,-37.0297012,174.9730072,NZ,AMZ
